date,Contest,Type,Contestants,PubLBRank,Public Leaderboard,PrivLBRank,Private Leaderboard,CompLink,BlogLink,Kaggle Rank,Tags
1-Jun-16,State Farm Distracted Driver Detection,Image Classification,1440,1082,75,1043,0.72,https://www.kaggle.com/c/state-farm-distracted-driver-detection,,75,
3-Jun-16,State Farm Distracted Driver Detection,Image Classification,1440,1082,75,1043,0.72,https://www.kaggle.com/c/state-farm-distracted-driver-detection,/blog/files/kaggle-distracted-driver.pdf,75,
